,,N_ESTIMATORS,LEARNING_RATE,MAX_DEPTH,MAE,MSE,RMSE
93,GB,100.0,0.01,3,1.2310899226281726,2.5227287666831772,1.5883100348115846
94,GB,100.0,0.01,5,1.2652827691030015,2.6448433755078695,1.6262974437377282
95,GB,100.0,0.01,7,1.2887641320143337,2.6905188666875075,1.6402801183601257
96,GB,100.0,0.1,3,1.4702214686519741,3.44355900804898,1.8556828953377191
97,GB,100.0,0.1,5,1.5663028522944207,3.8020664016263748,1.9498888177602267
98,GB,100.0,0.1,7,1.5684076131149665,3.746183040579856,1.9355058875084457
99,GB,100.0,0.2,3,1.5125320796371886,3.658235562430349,1.9126514482336683
100,GB,100.0,0.2,5,1.5821431990583905,3.874315807984152,1.9683281758853508
101,GB,100.0,0.2,7,1.5684348622170565,3.762975275381514,1.9398389818182111
102,GB,200.0,0.01,3,1.3320648454383848,2.8752310833549894,1.6956506371758864
103,GB,200.0,0.01,5,1.402772579211561,3.1513821982535744,1.7752132824687783
104,GB,200.0,0.01,7,1.440481732841532,3.2328996399701246,1.798026596013008
105,GB,200.0,0.1,3,1.5090993353480722,3.6131900413046343,1.900839299179348
106,GB,200.0,0.1,5,1.5841637493102179,3.867275510826509,1.966538967533191
107,GB,200.0,0.1,7,1.5726372018845391,3.7625476704041265,1.9397287620706474
108,GB,200.0,0.2,3,1.5577738985903542,3.85594996856461,1.9636572940726216
109,GB,200.0,0.2,5,1.599780680549848,3.9432065898047615,1.985750888154091
110,GB,200.0,0.2,7,1.5824737046396484,3.8133334006602366,1.9527758193556772
111,3,50.0,0.01,3,1.4147692292750136,3.20725274536786,1.7908804386021586
112,GB,50.0,0.01,3,1.0975274689241648,2.0767487915077494,1.4410929156399839
113,GB,50.0,0.01,5,1.1096131878701696,2.095217355959075,1.4474865650357778
114,GB,50.0,0.01,7,1.115461818006806,2.105777442557585,1.4511297125197269
115,GB,50.0,0.1,3,1.3049386382332442,2.8345748610084365,1.683619571342777
116,GB,50.0,0.1,5,1.3265793994766968,2.932425861807147,1.7124327320531885
117,GB,50.0,0.1,7,1.3616415062390552,3.093743014891771,1.7589039242925608
118,GB,50.0,0.2,3,1.3472170220271023,2.966774439368918,1.722432709678064
119,GB,50.0,0.2,5,1.3656152656045986,3.063040791025835,1.750154504901163
120,GB,50.0,0.2,7,1.3829317291124428,3.1533322804395323,1.775762450453194
121,GB,100.0,0.01,3,1.1435642725880841,2.2154288630032255,1.4884316789840324
122,GB,100.0,0.01,5,1.171830109084011,2.2750797998070396,1.5083367660463096
123,GB,100.0,0.01,7,1.1900690871147175,2.3508565007409077,1.53325030596472
124,GB,100.0,0.1,3,1.3386548077722342,2.941730282879464,1.7151473064665508
125,GB,100.0,0.1,5,1.3481545908690875,3.0134932759518627,1.7359416107553454
126,GB,100.0,0.1,7,1.3729532658321628,3.122290182230689,1.7670003345304406
127,GB,100.0,0.2,3,1.3593221120943741,2.9868068410035793,1.7282380741679022
128,GB,100.0,0.2,5,1.3773345615688888,3.1144759328083387,1.7647877869047992
129,GB,100.0,0.2,7,1.3753239219223787,3.1082517475483966,1.7630234676680843
130,GB,200.0,0.01,3,1.218878353057635,2.5049559609195144,1.5827052665987797
131,GB,200.0,0.01,5,1.266700970391437,2.6303843724646745,1.6218459768007178
132,GB,200.0,0.01,7,1.2890121446647336,2.782682902594926,1.668137555058013
133,GB,200.0,0.1,3,1.363307883891698,3.022827159896472,1.7386279532713351
134,GB,200.0,0.1,5,1.3715353547010742,3.104704336991794,1.7620171216511473
135,GB,200.0,0.1,7,1.379412104392418,3.1568733033293106,1.7767592136610155
136,GB,200.0,0.2,3,1.394798520228341,3.154555484325574,1.7761068335901347
137,GB,200.0,0.2,5,1.3947011723891074,3.1778049081499216,1.7826398705711486
138,GB,200.0,0.2,7,1.3747161805752888,3.1419838737070407,1.7725642086274451
139,4,50.0,0.01,3,1.2830591584437423,2.7210040296938898,1.649546613374078
140,GB,50.0,0.01,3,1.1386797775726656,2.0380738918852024,1.4276112537680565
141,GB,50.0,0.01,5,1.1571108484064827,2.0942070680251703,1.4471375428842865
142,GB,50.0,0.01,7,1.1558345365594345,2.096038217921416,1.4477700846202812
143,GB,50.0,0.1,3,1.3975172264948523,3.086356663806038,1.756802966700033
144,GB,50.0,0.1,5,1.4090531743487151,3.165135392596382,1.7790827391092248
145,GB,50.0,0.1,7,1.3987931907978217,3.099484928870304,1.7605354097178234
146,GB,50.0,0.2,3,1.4060356740071487,3.2085350377704316,1.7912384089702944
147,GB,50.0,0.2,5,1.4094595168766428,3.189351649856773,1.7858755975310188
148,GB,50.0,0.2,7,1.4000015078690191,3.1556195602378483,1.7764063612354715
149,GB,100.0,0.01,3,1.2143313329064915,2.2825155905820758,1.510799652694584
150,GB,100.0,0.01,5,1.2465940297637852,2.4041758974595173,1.5505405178387044
151,GB,100.0,0.01,7,1.2291901239413798,2.4107195741769814,1.552649211566148
152,GB,100.0,0.1,3,1.4118704423304977,3.1761455053714496,1.7821743756915174
153,GB,100.0,0.1,5,1.425236680422137,3.25083078583166,1.8030060415405325
154,GB,100.0,0.1,7,1.4025168480514734,3.114706067017824,1.7648529873668866
155,GB,100.0,0.2,3,1.4113258908207058,3.233248285143556,1.798123545572872
156,GB,100.0,0.2,5,1.4091209884650289,3.18691289810014,1.7851926781443341
157,GB,100.0,0.2,7,1.3976027332962726,3.1620027362833447,1.778202107827832
158,GB,200.0,0.01,3,1.3130625904493727,2.6884641141144314,1.639653656756338
159,GB,200.0,0.01,5,1.3373799335426615,2.8296500951737773,1.6821563824965196
160,GB,200.0,0.01,7,1.3288850152406757,2.8378825322961205,1.6846015945309207
161,GB,200.0,0.1,3,1.4232302772838121,3.213716347427604,1.7926841181389441
162,GB,200.0,0.1,5,1.4193775370727033,3.2116168045763245,1.792098436073288
163,GB,200.0,0.1,7,1.4045893089400658,3.133348330868732,1.7701266426074527
164,GB,200.0,0.2,3,1.4064184221701872,3.200330746083104,1.7889468259518235
165,GB,200.0,0.2,5,1.3957927015209073,3.1658821981432204,1.7792926117261378
166,GB,200.0,0.2,7,1.3880062289484627,3.103978920657268,1.761811261360668
167,5,50.0,0.01,3,1.3792450355613626,3.0017386937985937,1.732552652532844
168,GB,50.0,0.01,3,1.132139887863215,2.1247190288495683,1.4576415982159565
169,GB,50.0,0.01,5,1.1152815244695187,2.0874065892381175,1.4447860011912206
170,GB,50.0,0.01,7,1.1159914767067212,2.132744003082167,1.4603917293254463
171,GB,50.0,0.1,3,1.392850397464707,3.13011492048899,1.7692130794477499
172,GB,50.0,0.1,5,1.3969637823898549,3.155693426070106,1.7764271519176085
173,GB,50.0,0.1,7,1.403984012154559,3.2393548048479865,1.799820770201296
174,GB,50.0,0.2,3,1.3892120280704994,3.170918667596669,1.7807073503517272
175,GB,50.0,0.2,5,1.4250906353412087,3.272664223702905,1.809050641552885
176,GB,50.0,0.2,7,1.4133627618993758,3.3002235225854717,1.816651733983559
177,GB,100.0,0.01,3,1.2004503801552757,2.3731642264488704,1.540507782015031
178,GB,100.0,0.01,5,1.197929086895783,2.3643875244837367,1.5376565040618586
179,GB,100.0,0.01,7,1.2069301571545434,2.474879679995468,1.573175031582776
180,GB,100.0,0.1,3,1.406766567079795,3.218449451732798,1.7940037490854912
181,GB,100.0,0.1,5,1.396454156632058,3.1661947300332263,1.779380434317863
182,GB,100.0,0.1,7,1.4058022384317068,3.284636113959347,1.8123565085157354
183,GB,100.0,0.2,3,1.3975512616465633,3.204727208326586,1.7901751892836035
184,GB,100.0,0.2,5,1.4430338387952035,3.3242222987563683,1.8232449914250055
185,GB,100.0,0.2,7,1.4134266336010302,3.3118596915525913,1.8198515575597345
186,GB,200.0,0.01,3,1.2878184869311207,2.7080193984406065,1.6456060884794412
187,GB,200.0,0.01,5,1.3089123529425601,2.7781397438870865,1.6667752529621642
188,GB,200.0,0.01,7,1.3313001451895172,2.920126064365609,1.7088376354603176
189,GB,200.0,0.1,3,1.4232055604026832,3.2695350792706783,1.8081855765575277
190,GB,200.0,0.1,5,1.4021383919687511,3.1990579862842368,1.7885910617813778
191,GB,200.0,0.1,7,1.403286097214775,3.268573646717606,1.8079197014020303
192,GB,200.0,0.2,3,1.4156431412679744,3.3060256265300487,1.8182479551837942
193,GB,200.0,0.2,5,1.4460323537776876,3.3400054239172614,1.8275681721668446
194,GB,200.0,0.2,7,1.4070885448964554,3.2672334589833882,1.8075490198009536
195,6,50.0,0.01,5,1.3499831460754301,2.9754216053486497,1.7249410440211137
196,GB,50.0,0.01,3,1.1383915354234635,2.258674731835831,1.5028887955653376
197,GB,50.0,0.01,5,1.1598610540788945,2.293395487046485,1.5143960799759373
198,GB,50.0,0.01,7,1.1644538488581737,2.308208935169382,1.5192790840294557
199,GB,50.0,0.1,3,1.438036159666021,3.3452546718810665,1.829003737525177
200,GB,50.0,0.1,5,1.4817354598537278,3.519918064886148,1.8761444680210926
201,GB,50.0,0.1,7,1.4904741701386166,3.5608885230788228,1.887031669866413
202,GB,50.0,0.2,3,1.4785167417380998,3.539079364682032,1.8812441002384652
203,GB,50.0,0.2,5,1.502959634259289,3.607072645903639,1.8992294874247395
204,GB,50.0,0.2,7,1.479034616182391,3.5094807511787924,1.8733608171355545
205,GB,100.0,0.01,3,1.2311636966955148,2.5397025735065406,1.593644431329191
206,GB,100.0,0.01,5,1.2649072209755539,2.6411717019687746,1.6251682072846412
207,GB,100.0,0.01,7,1.2689849868989316,2.6640024925324006,1.6321772246090192
208,GB,100.0,0.1,3,1.4709051277576488,3.482062025192427,1.866028409535189
209,GB,100.0,0.1,5,1.4929352432635674,3.577170174342294,1.8913408403411307
210,GB,100.0,0.1,7,1.4966110056708164,3.575328827365675,1.8908539941956584
211,GB,100.0,0.2,3,1.4813526780472888,3.5393745395085223,1.8813225506298814
212,GB,100.0,0.2,5,1.5098976863994957,3.6425069874405493,1.9085352989768225
213,GB,100.0,0.2,7,1.4821012883225333,3.509243088716504,1.8732973839506915
214,GB,200.0,0.01,3,1.343864744646347,2.9559994457048604,1.719302022829282
215,GB,200.0,0.01,5,1.3815560939893605,3.1246585638631315,1.7676703776052625
216,GB,200.0,0.01,7,1.4034161886260064,3.192370216607478,1.7867205200051512
217,GB,200.0,0.1,3,1.4833427145524822,3.5329840952860723,1.8796233918756364
218,GB,200.0,0.1,5,1.4861179778984772,3.556001720304847,1.8857363867478527
219,GB,200.0,0.1,7,1.48804974002352,3.571830425830369,1.8899286827365653
220,GB,200.0,0.2,3,1.4899511040879416,3.5592828590419328,1.8866061748658443
221,GB,200.0,0.2,5,1.501740609712269,3.622187619900125,1.9032045659623993
222,GB,200.0,0.2,7,1.475231991307906,3.4913125131752087,1.8685054223028652
223,7,50.0,0.01,3,1.4272410823791652,3.334917747913658,1.82617571660387
224,GB,50.0,0.01,3,1.2165232587004968,2.409425520655813,1.5522324312601554
225,GB,50.0,0.01,5,1.2210475418913378,2.4338194375340616,1.5600703309575699
226,GB,50.0,0.01,7,1.2247535332750128,2.424560577011847,1.5571000536291324
227,GB,50.0,0.1,3,1.4327978502190752,3.365082413093808,1.8344160959536437
228,GB,50.0,0.1,5,1.467353437451838,3.5193728967110185,1.8759991728972107
229,GB,50.0,0.1,7,1.4853148038984774,3.526849107517053,1.8779907101785815
230,GB,50.0,0.2,3,1.4454769404904038,3.5500811474950176,1.8841659023278756
231,GB,50.0,0.2,5,1.497698111367528,3.6211834778837186,1.9029407447116473
232,GB,50.0,0.2,7,1.5089646031131179,3.6394676676621462,1.9077388887534232
233,GB,100.0,0.01,3,1.2778021612946624,2.647567961454187,1.6271348934412866
234,GB,100.0,0.01,5,1.3015591905103798,2.7386344019474427,1.6548819903387197
235,GB,100.0,0.01,7,1.3043734808971645,2.7232060875845288,1.6502139520633465
236,GB,100.0,0.1,3,1.448962293221565,3.5058935907506132,1.8724031592449883
237,GB,100.0,0.1,5,1.4881422803382425,3.6129357526529717,1.9007724094833058
238,GB,100.0,0.1,7,1.5017730991124285,3.5959731656626546,1.8963051351675064
239,GB,100.0,0.2,3,1.454616070943211,3.6241277409527894,1.9037141962366066
240,GB,100.0,0.2,5,1.5006885031811121,3.640498584106521,1.908009062899472
241,GB,100.0,0.2,7,1.5068531567339665,3.621381895505397,1.9029928784694379
242,GB,200.0,0.01,3,1.369615163281785,3.028284642395024,1.7401967251994885
243,GB,200.0,0.01,5,1.402099732283312,3.1465943519855406,1.7738642428285036
244,GB,200.0,0.01,7,1.40241178478448,3.1690848331613597,1.7801923584717916
245,GB,200.0,0.1,3,1.4648901139081365,3.6342645510345633,1.906374714224505
246,GB,200.0,0.1,5,1.5022685291953823,3.6648241853388264,1.9143730528135905
247,GB,200.0,0.1,7,1.5141109016940377,3.6337581288333753,1.9062418862341095
248,GB,200.0,0.2,3,1.4830448907475007,3.7269777075657498,1.930538191169952
249,GB,200.0,0.2,5,1.5194842359530385,3.700118240890794,1.9235691411776168
250,GB,200.0,0.2,7,1.512546944732316,3.6433704422521744,1.9087614943340026
251,8,50.0,0.01,3,1.4477838106200298,3.3884219760868426,1.840766681599502
252,GB,50.0,0.01,3,1.2576663669316404,2.646672961818303,1.6268598470115068
253,GB,50.0,0.01,5,1.2707486848034322,2.6967997177608325,1.6421935689074028
254,GB,50.0,0.01,7,1.272560333409965,2.67036979332165,1.6341266148379232
255,GB,50.0,0.1,3,1.4929165831743652,3.820652977388817,1.9546490675793486
256,GB,50.0,0.1,5,1.5128444664157585,3.885698759657344,1.9712175830327163
257,GB,50.0,0.1,7,1.5579451815962178,3.9825268451137714,1.9956269303438885
258,GB,50.0,0.2,3,1.5173481563207156,3.929153692951226,1.9822092959501592
259,GB,50.0,0.2,5,1.5317262816481014,4.003525872445817,2.0008812739505104
260,GB,50.0,0.2,7,1.5553306580779693,3.93824466180336,1.9845011115651612
261,GB,100.0,0.01,3,1.3332198410931566,2.981003870200721,1.7265583888767624
262,GB,100.0,0.01,5,1.3634668966056736,3.074159450647166,1.7533281069574986
263,GB,100.0,0.01,7,1.378355655234983,3.0941044894380196,1.7590066769168387
264,GB,100.0,0.1,3,1.5186554346154189,3.930551454150149,1.982561841191883
265,GB,100.0,0.1,5,1.5223804109360346,3.9018608478186576,1.975312848087274
266,GB,100.0,0.1,7,1.5687406333331484,3.992964283984202,1.9982402968572628
267,GB,100.0,0.2,3,1.51876793923056,3.9139227754346524,1.9783636610680688
268,GB,100.0,0.2,5,1.547111602096681,4.023311493157829,2.0058194069152457
269,GB,100.0,0.2,7,1.5580400486583965,3.938647050475799,1.9846024918042906
270,GB,200.0,0.01,3,1.421680414141035,3.4100360517421624,1.8466282927926134
271,GB,200.0,0.01,5,1.44854020910549,3.5330865584378928,1.8796506479763448
272,GB,200.0,0.01,7,1.485183591892297,3.608069879349496,1.8994920056029443
273,GB,200.0,0.1,3,1.5281066448053306,3.9488209608272644,1.9871640498024477
274,GB,200.0,0.1,5,1.53410307290575,3.9177280398920136,1.9793251475924853
275,GB,200.0,0.1,7,1.5661432722409592,3.982062024619923,1.9955104671787425
276,GB,200.0,0.2,3,1.5563830400742502,4.036937155259613,2.0092130686563863
277,GB,200.0,0.2,5,1.5611686688306474,4.058368393879895,2.0145392510149547
278,GB,200.0,0.2,7,1.5547295688326537,3.9439729574285565,1.9859438454872174
279,9,50.0,0.01,3,1.4929876259400958,3.787094538797938,1.946045872737315
280,GB,50.0,0.01,3,1.2311670798345236,2.4488090840497914,1.5648671138629604
281,GB,50.0,0.01,5,1.2192859256680184,2.4288955481805066,1.5584914334639464
282,GB,50.0,0.01,7,1.2137430445277133,2.4215002249800257,1.556117034473958
283,GB,50.0,0.1,3,1.461293082922489,3.4903266159289412,1.8682415839309812
284,GB,50.0,0.1,5,1.5185347074884121,3.71455858404349,1.9273190146012387
285,GB,50.0,0.1,7,1.5263913333088617,3.7896250666850735,1.946695935857748
286,GB,50.0,0.2,3,1.4829568782325873,3.595972029926885,1.8963048357072987
287,GB,50.0,0.2,5,1.5268417783507802,3.7515765374080154,1.9368986905380507
288,GB,50.0,0.2,7,1.5507826987865692,3.9526053473563265,1.9881160296512692
289,GB,100.0,0.01,3,1.2829616547213964,2.7134485226349208,1.647254844471529
290,GB,100.0,0.01,5,1.3003406154692647,2.7798068731027374,1.6672752841395861
291,GB,100.0,0.01,7,1.3036503129298935,2.8174677308403346,1.678531420867758
292,GB,100.0,0.1,3,1.4648851834069343,3.5479290991470016,1.883594727946275
293,GB,100.0,0.1,5,1.5320609435761796,3.7621543771900976,1.9396273810168019
294,GB,100.0,0.1,7,1.5360366928885147,3.8020872448605085,1.949894162476648
295,GB,100.0,0.2,3,1.5006682814459138,3.671782701500281,1.9161896308821527
296,GB,100.0,0.2,5,1.5517020432721422,3.85409995711157,1.9631861748472992
297,GB,100.0,0.2,7,1.5268393833216998,3.8439221567416477,1.9605922974299494
298,GB,200.0,0.01,3,1.3751208647162305,3.096738766882856,1.7597553144920053
299,GB,200.0,0.01,5,1.416224550177067,3.296372135601604,1.8155914010596117
300,GB,200.0,0.01,7,1.4307463047573497,3.371741835647193,1.8362303329504153
301,GB,200.0,0.1,3,1.5087405790021327,3.7106465888784075,1.9263038672230317
302,GB,200.0,0.1,5,1.5467540112803912,3.8305409982239187,1.9571767927869772
303,GB,200.0,0.1,7,1.527533497776979,3.755027124804129,1.9377892364248825
304,GB,200.0,0.2,3,1.5122785329572648,3.7238813900287187,1.929736093363214
305,GB,200.0,0.2,5,1.554925252447878,3.8377754304435,1.959024101547375
306,GB,200.0,0.2,7,1.5506373726704017,3.9349161305651386,1.9836623025518074
307,10,50.0,0.01,7,1.439001155976578,3.413817579198324,1.8476519096405373
308,GB,50.0,0.01,3,1.130399067817544,2.0320085811825157,1.4254853844156088
309,GB,50.0,0.01,5,1.1596864268221059,2.0979230857275266,1.4484208938452685
310,GB,50.0,0.01,7,1.1471255541854972,2.0367977775207455,1.4271642433583969
311,GB,50.0,0.1,3,1.460940805402698,3.3219426168452197,1.8226197126238979
312,GB,50.0,0.1,5,1.4952327490212634,3.438994870438738,1.8544527145329799
313,GB,50.0,0.1,7,1.5195946220368357,3.544133819067083,1.8825870017258388
314,GB,50.0,0.2,3,1.505971131060929,3.509747314453038,1.873431961522232
315,GB,50.0,0.2,5,1.518467697465523,3.5507607170537545,1.8843462306735868
316,GB,50.0,0.2,7,1.5476466570310405,3.65355020518867,1.911426222795081
317,GB,100.0,0.01,3,1.2295630991757487,2.3675272521574295,1.538677111078679
318,GB,100.0,0.01,5,1.2739588964996758,2.5055105901886523,1.582880472489522
319,GB,100.0,0.01,7,1.2785890974962673,2.4899759483405814,1.577965762727627
320,GB,100.0,0.1,3,1.4858060169955005,3.427354855932799,1.851311658239314
321,GB,100.0,0.1,5,1.4990425910525553,3.4803359500593807,1.8655658525121488
322,GB,100.0,0.1,7,1.5202702186960204,3.5601265633037253,1.8868297653216428
323,GB,100.0,0.2,3,1.5200769602395818,3.5810509882238755,1.8923665047299574
324,GB,100.0,0.2,5,1.5238151244139373,3.571826669465678,1.889927688951532
325,GB,100.0,0.2,7,1.5400041648552691,3.6363262406310737,1.9069153732221769
326,GB,200.0,0.01,3,1.3632113232728922,2.8773350434903406,1.6962709227863162
327,GB,200.0,0.01,5,1.4061445078912895,3.050698570565149,1.7466249083776255
328,GB,200.0,0.01,7,1.4221645839316608,3.1123136445115036,1.7641750606194113
329,GB,200.0,0.1,3,1.4977385083210988,3.4922508604936446,1.868756501124115
330,GB,200.0,0.1,5,1.5130155055839056,3.5401427403419117,1.881526704658191
331,GB,200.0,0.1,7,1.5205629570285266,3.5674140707165978,1.8887599293495714
332,GB,200.0,0.2,3,1.5406070284922675,3.69536883939684,1.9223342163621913
333,GB,200.0,0.2,5,1.5336503218340842,3.6125919468935983,1.9006819688979002
334,GB,200.0,0.2,7,1.5493147240874243,3.7011138016962835,1.92382790334694
335,11,50.0,0.01,3,1.4688576228061363,3.316977013703448,1.8212569872764932
336,GB,50.0,0.01,3,1.2148704871466862,2.1781799893353635,1.4758658439490235
